Name,Twitter_handle,Team,Race,T1_start,T1_end,T2_start,T2_end,T3_start,T3_end,T4_start,T4_end,T5_start,T5_end,full_twitter
Russell Wilson,@DangeRussWilson',Seattle Seahawks,B,2017-09-10 21:25',2017-09-11 01:25',2017-09-17 21:25',2017-09-18 01:25',2017-09-24 21:05',2017-09-25 01:05',2017-10-02 01:30',2017-10-02 05:30',2017-10-08 21:05',2017-10-09 01:05',Russell Wilson OR @DangeRussWilson'
Doug Baldwin,@DougBaldwinJr',Seattle Seahawks,B,2017-09-10 21:25',2017-09-11 01:25',2017-09-17 21:25',2017-09-18 01:25',2017-09-24 21:05',2017-09-25 01:05',2017-10-02 01:30',2017-10-02 05:30',2017-10-08 21:05',2017-10-09 01:05',Doug Baldwin OR @DougBaldwinJr'
Jimmy Graham,@TheJimmyGraham',Seattle Seahawks,W,2017-09-10 21:25',2017-09-11 01:25',2017-09-17 21:25',2017-09-18 01:25',2017-09-24 21:05',2017-09-25 01:05',2017-10-02 01:30',2017-10-02 05:30',2017-10-08 21:05',2017-10-09 01:05',Jimmy Graham OR @TheJimmyGraham'
Cam Newton,@CameronNewton',Carolina Panthers,B,2017-09-17 18:00',2017-09-17 22:00',2017-09-24 18:00',2017-09-24 22:00',2017-10-01 18:00',2017-10-01 22:00',2017-10-08 18:00',2017-10-08 22:00',2017-10-13 01:25',2017-10-13 05:25',Cam Newton OR @CameronNewton'
Devin Funchess,@D_FUNCH',Carolina Panthers,B,2017-09-17 18:00',2017-09-17 22:00',2017-09-24 18:00',2017-09-24 22:00',2017-10-01 18:00',2017-10-01 22:00',2017-10-08 18:00',2017-10-08 22:00',2017-10-13 01:25',2017-10-13 05:25',Devin Funchess OR @D_FUNCH'
Christian McCaffrey,@run__cmc',Carolina Panthers,W,2017-09-17 18:00',2017-09-17 22:00',2017-09-24 18:00',2017-09-24 22:00',2017-10-01 18:00',2017-10-01 22:00',2017-10-08 18:00',2017-10-08 22:00',2017-10-13 01:25',2017-10-13 05:25',Christian McCaffrey OR @run__cmc'
Dak Prescott,@dak',Dallas Cowboys,B,2017-09-11 01:30',2017-09-11 05:30',2017-09-17 21:25',2017-09-18 01:25',2017-09-26 01:30',2017-09-26 05:30',2017-10-01 18:00',2017-10-01 22:00',2017-10-08 21:25',2017-10-09 01:25',Dak Prescott OR @dak'
Dez Bryant,@DezBryant',Dallas Cowboys,B,2017-09-11 01:30',2017-09-11 05:30',2017-09-17 21:25',2017-09-18 01:25',2017-09-26 01:30',2017-09-26 05:30',2017-10-01 18:00',2017-10-01 22:00',2017-10-08 21:25',2017-10-09 01:25',Dez Bryant OR @DezBryant'
Jason Witten,@JasonWitten',Dallas Cowboys,W,2017-09-11 01:30',2017-09-11 05:30',2017-09-17 21:25',2017-09-18 01:25',2017-09-26 01:30',2017-09-26 05:30',2017-10-01 18:00',2017-10-01 22:00',2017-10-08 21:25',2017-10-09 01:25',Jason Witten OR @JasonWitten'
Jameis Winston,@Jaboowins',Tampa Bay Buccaneers,B,2017-09-17 18:00',2017-09-17 22:00',2017-09-24 18:00',2017-09-24 22:00',2017-10-01 21:05',2017-10-02 01:05',2017-10-06 01:25',2017-10-06 05:25',2017-10-15 21:05',2017-10-16 01:05',Jameis Winston OR @Jaboowins'
