Tweets,len,ID,Date,Likes,RTs,Quoted,Q_or_RT,User_ent_text,retweeted_tweet,user_mentions,profile_location,in_reply_to_screen_name,created_at_string,tweet_type,all_text
Dak Prescott's Precious Mix of Smarts and Skills on Full Display in Cowboy... #Cowboys  https://t.co/9TpBqHHMjz https://t.co/TLmlC3P6qT,135,907113887694286848,2017-09-11 05:29:38,2,0,,,Dak Prescott's Precious Mix of Smarts and Skills on Full Display in Cowboy... #Cowboys  https://t.co/9TpBqHHMjz https://t.co/TLmlC3P6qT,,[],"{'country': 'United States', 'country_code': 'US', 'locality': 'Dallas', 'region': 'Texas', 'sub_region': 'Dallas County', 'full_name': 'Dallas, Texas, United States', 'geo': {'coordinates': [-96.80667, 32.78306], 'type': 'point'}}",,2017-29-11T05:29:38.000Z,tweet,Dak Prescott's Precious Mix of Smarts and Skills on Full Display in Cowboy... #Cowboys  https://t.co/9TpBqHHMjz https://t.co/TLmlC3P6qT
[Bleacher Report] - Dak Prescott's Precious Mix of Smarts and Skills on Full Display in Cowboys Win https://t.co/n4rpnbVFSE,123,907113780013912064,2017-09-11 05:29:13,0,0,,,[Bleacher Report] - Dak Prescott's Precious Mix of Smarts and Skills on Full Display in Cowboys Win https://t.co/n4rpnbVFSE,,[],,,2017-29-11T05:29:13.000Z,tweet,[Bleacher Report] - Dak Prescott's Precious Mix of Smarts and Skills on Full Display in Cowboys Win https://t.co/n4rpnbVFSE
Ezekiel Elliott y Dak Prescott son los Colosos de la Semana 1: Ezekiel Elliott y Dak Prescott son los Colosos de la… https://t.co/d9p59krEET,140,907113254832373762,2017-09-11 05:27:07,1,1,,,Ezekiel Elliott y Dak Prescott son los Colosos de la Semana 1: Ezekiel Elliott y Dak Prescott son los Colosos de la… https://t.co/iwOqD5lm5e https://t.co/UcdhbUis2M,,[],"{'country': 'United States', 'country_code': 'US', 'region': 'Connecticut', 'full_name': 'Connecticut, United States', 'geo': {'coordinates': [-72.66648, 41.66704], 'type': 'point'}}",,2017-27-11T05:27:07.000Z,tweet,Ezekiel Elliott y Dak Prescott son los Colosos de la Semana 1: Ezekiel Elliott y Dak Prescott son los Colosos de la… https://t.co/iwOqD5lm5e https://t.co/UcdhbUis2M
"Dak Prescott solves Giants' D, has perfect start to gigantic Season 2 https://t.co/n2Fi2JiRUN",93,907113038171529216,2017-09-11 05:26:16,0,0,,,"Dak Prescott solves Giants' D, has perfect start to gigantic Season 2 https://t.co/n2Fi2JiRUN",,[],,,2017-26-11T05:26:16.000Z,tweet,"Dak Prescott solves Giants' D, has perfect start to gigantic Season 2 https://t.co/n2Fi2JiRUN"
How Dak Prescott has gone from being confused by Giants' defense to throwing all over them https://t.co/vyZpGLz64p via @sportsdaydfw,132,907112951404007424,2017-09-11 05:25:55,13,4,,,How Dak Prescott has gone from being confused by Giants' defense to throwing all over them https://t.co/vyZpGLz64p via @sportsdaydfw,,"[{'screen_name': 'SportsDayDFW', 'name': 'SportsDayDFW', 'id': 20291394, 'id_str': '20291394', 'indices': [119, 132]}]","{'country': 'United States', 'country_code': 'US', 'locality': 'Arlington', 'region': 'Texas', 'sub_region': 'Tarrant County', 'full_name': 'Arlington, Texas, United States', 'geo': {'coordinates': [-97.10807, 32.73569], 'type': 'point'}}",,2017-25-11T05:25:55.000Z,tweet,How Dak Prescott has gone from being confused by Giants' defense to throwing all over them https://t.co/vyZpGLz64p via @sportsdaydfw
"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York https://t.co/eDpni7dmfM",109,907112806478204929,2017-09-11 05:25:21,0,0,,,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York https://t.co/eDpni7dmfM",,[],,,2017-25-11T05:25:21.000Z,tweet,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York https://t.co/eDpni7dmfM"
"Dak Prescott solves Giants' D, has perfect start to gigantic Season 2 https://t.co/0zIvQJPukf https://t.co/ZRayrdGlP4",117,907112584121389056,2017-09-11 05:24:28,0,0,,,"Dak Prescott solves Giants' D, has perfect start to gigantic Season 2 https://t.co/0zIvQJPukf https://t.co/ZRayrdGlP4",,[],,,2017-24-11T05:24:28.000Z,tweet,"Dak Prescott solves Giants' D, has perfect start to gigantic Season 2 https://t.co/0zIvQJPukf https://t.co/ZRayrdGlP4"
"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/Zvg9XwRaU0 https://t.co/Mus7Kudxz3",135,907112552710262784,2017-09-11 05:24:20,0,0,,,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/Zvg9XwRaU0 https://t.co/Mus7Kudxz3",,[],"{'country': 'Norway', 'country_code': 'NO', 'locality': 'Bergen', 'region': 'Hordaland', 'sub_region': 'Bergen', 'full_name': 'Bergen, Hordaland, Norway', 'geo': {'coordinates': [5.32415, 60.39299], 'type': 'point'}}",,2017-24-11T05:24:20.000Z,tweet,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/Zvg9XwRaU0 https://t.co/Mus7Kudxz3"
Dak Prescott highlights | Week 1 - https://t.co/DnlKjkuKqp #DallasCowboys,73,907112315065126912,2017-09-11 05:23:23,0,0,,,Dak Prescott highlights | Week 1 - https://t.co/DnlKjkuKqp #DallasCowboys,,[],,,2017-23-11T05:23:23.000Z,tweet,Dak Prescott highlights | Week 1 - https://t.co/DnlKjkuKqp #DallasCowboys
"#NFLxESPN 🏈

'Zeke' y Prescott, los COLOSOS de la semana 1️⃣.🙌💪

#Chécalo⬇️
https://t.co/AFxL13VrqM https://t.co/JhToH60uNq",123,907111827359846401,2017-09-11 05:21:27,11,3,,,"#NFLxESPN 🏈

'Zeke' y Prescott, los COLOSOS de la semana 1️⃣.🙌💪

#Chécalo⬇️
https://t.co/AFxL13VrqM https://t.co/JhToH60uNq",,[],,,2017-21-11T05:21:27.000Z,tweet,"#NFLxESPN 🏈

'Zeke' y Prescott, los COLOSOS de la semana 1️⃣.🙌💪

#Chécalo⬇️
https://t.co/AFxL13VrqM https://t.co/JhToH60uNq"
